"","Date","barcode","longitude","latitude","site","siteLabel","plot_num","treatment","treatmentLabel","exclosure","exclosureLabel","paired","pairedLabel","number","plot","cluster","factorial","vwc","vwc_med","period","period_med","veg_type","veg_type_med","veg_level","veg_level_med","soil_temp","soil_temp_med","plotBC","clusterBC","season","seasonYear","MoYear","year","month","hour","minute","time","CT1","CT2","CT3","CT4","Ct_detects","positive"
"70","2021-04-22 12:17:00","AS04PE11",-119.6701346,35.07623522,1,"S",4,1,"P",0,"E",1,1,NA,"S04","S04PE1","PE",NA,NA,NA,NA,1,1,3,3,75,72,"S04","S04PE1","Spring","Spring_2021","2021-04",2021,4,12,17,12.2833333333333,NA,NA,NA,NA,0,0
"71","2021-04-22 12:33:00","AS04SE11",-119.6702628,35.07616924,1,"S",4,0,"S",0,"E",1,1,NA,"S04","S04SE1","SE",NA,NA,NA,NA,1,1,3,2,80,80,"S04","S04SE1","Spring","Spring_2021","2021-04",2021,4,12,33,12.55,NA,NA,NA,NA,0,0
"72","2021-04-20 10:16:00","AC03PN21",-119.7436854,35.12620604,0,"C",3,1,"P",1,"N",0,2,NA,"C03","C03PN2","PN",5.9,6.2,1.176,1.184,1,1,1,1,75,69,"C03","C03PN2","Spring","Spring_2021","2021-04",2021,4,10,16,10.2666666666667,NA,NA,NA,NA,0,0
"73","2021-04-20 10:36:00","AC03PN11",-119.7448186,35.12566108,0,"C",3,1,"P",1,"N",1,1,NA,"C03","C03PN1","PN",7.6,6.2,1.212,1.181,1,1,1,2,76,73,"C03","C03PN1","Spring","Spring_2021","2021-04",2021,4,10,36,10.6,NA,NA,NA,NA,0,0
"74","2021-04-20 10:47:00","AC03SN11",-119.7449282,35.12574814,0,"C",3,0,"S",1,"N",1,1,NA,"C03","C03SN1","SN",11.9,12.5,1.281,1.292,0,1,0,1,72,74,"C03","C03SN1","Spring","Spring_2021","2021-04",2021,4,10,47,10.7833333333333,NA,NA,NA,NA,0,0
"75","2021-04-20 10:56:00","AC03SE11",-119.7442303,35.12593538,0,"C",3,0,"S",0,"E",1,1,NA,"C03","C03SE1","SE",5.9,8,1.177,1.218,1,1,3,3,74,73,"C03","C03SE1","Spring","Spring_2021","2021-04",2021,4,10,56,10.9333333333333,NA,NA,NA,NA,0,0
"76","2021-04-20 13:22:00","AC06PN21",-119.7471627,35.11472361,0,"C",6,1,"P",1,"N",0,2,NA,"C06","C06PN2","PN",5.5,3.2,1.171,1.123,1,1,1,2,80,85,"C06","C06PN2","Spring","Spring_2021","2021-04",2021,4,13,22,13.3666666666667,NA,NA,NA,NA,0,0
"77","2021-04-20 13:47:00","AC06PE11",-119.7475458,35.11453835,0,"C",6,1,"P",0,"E",1,1,NA,"C06","C06PE1","PE",5.8,4.7,1.172,1.152,0,0,0,0,86,84,"C06","C06PE1","Spring","Spring_2021","2021-04",2021,4,13,47,13.7833333333333,NA,NA,NA,NA,0,0
"78","2021-04-20 14:51:00","AC08SN11",-119.729769,35.11306696,0,"C",8,0,"S",1,"N",1,1,NA,"C08","C08SN1","SN",6.4,6.9,1.187,1.1975,0,0,0,0,84,84,"C08","C08SN1","Spring","Spring_2021","2021-04",2021,4,14,51,14.85,NA,NA,NA,NA,0,0
"79","2021-04-20 15:55:00","AC07PN11",-119.7328116,35.10880071,0,"C",7,1,"P",1,"N",1,1,NA,"C07","C07PN1","PN",NA,NA,NA,NA,0,0,0,0,77,84,"C07","C07PN1","Spring","Spring_2021","2021-04",2021,4,15,55,15.9166666666667,37.1,36.87,37.82,NA,3,1
"80","2021-04-20 16:18:00","AC07PN21",-119.7317498,35.10800506,0,"C",7,1,"P",1,"N",0,2,NA,"C07","C07PN2","PN",NA,NA,NA,NA,1,1,2,2,82,83,"C07","C07PN2","Spring","Spring_2021","2021-04",2021,4,16,18,16.3,NA,39.85,37.71,NA,2,0
"81","2021-04-20 16:36:00","AC07SE11",-119.7322485,35.10831569,0,"C",7,0,"S",0,"E",1,1,NA,"C07","C07SE1","SE",NA,NA,NA,NA,1,1,2,3,81,85,"C07","C07SE1","Spring","Spring_2021","2021-04",2021,4,16,36,16.6,NA,NA,NA,NA,0,0
